 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
3; N77.4;Dajanje pravic uporabe intelektualne lastnine v zakup, razen avtorsko zašèitenih del;Leasing of intellectual property and similar products, except copyrighted works; N77;
4; N77.40;Dajanje pravic uporabe intelektualne lastnine v zakup, razen avtorsko zašèitenih del;Leasing of intellectual property and similar products, except copyrighted works; N77.4;
5; N77.400;Dajanje pravic uporabe intelektualne lastnine v zakup, razen avtorsko zašèitenih del;Leasing of intellectual property and similar products, except copyrighted works; N77.40;
2; N78;Zaposlovalne dejavnosti;Employment activities; N;
3; N78.1;Dejavnost pri iskanju zaposlitve;Activities of employment placement agencies; N78;
4; N78.10;Dejavnost pri iskanju zaposlitve;Activities of employment placement agencies; N78.1;
5; N78.100;Dejavnost pri iskanju zaposlitve;Activities of employment placement agencies; N78.10;
3; N78.2;Posredovanje zaèasne delovne sile;Temporary employment agency activities; N78;
4; N78.20;Posredovanje zaèasne delovne sile;Temporary employment agency activities; N78.2;
5; N78.200;Posredovanje zaèasne delovne sile;Temporary employment agency activities; N78.20;
3; N78.3;Druga oskrba s èloveškimi viri;Other human resources provision; N78;
4; N78.30;Druga oskrba s èloveškimi viri;Other human resources provision; N78.3;
5; N78.300;Druga oskrba s èloveškimi viri;Other human resources provision; N78.30;
2; N79;Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti;Travel agency, tour operator and other reservation service and related activities; N;
3; N79.1;Dejavnost potovalnih agencij in organizatorjev potovanj;Travel agency and tour operator activities; N79;
4; N79.11;Dejavnost potovalnih agencij;Travel agency activities; N79.1;
5; N79.110;Dejavnost potovalnih agencij;Travel agency activities; N79.11;
4; N79.12;Dejavnost organizatorjev potovanj;Tour operator activities; N79.1;
5; N79.120;Dejavnost organizatorjev potovanj;Tour operator activities; N79.12;
3; N79.9;Rezervacije in druge s potovanji povezane dejavnosti;Other reservation service and related activities; N79;
4; N79.90;Rezervacije in druge s potovanji povezane dejavnosti;Other reservation service and related activities; N79.9;
5; N79.900;Rezervacije in druge s potovanji povezane dejavnosti;Other reservation service and related activities; N79.90;
2; N80;Varovanje in poizvedovalne dejavnosti;Security and investigation activities; N;
3; N80.1;Varovanje;Private security activities; N80;
4; N80.10;Varovanje;Private security activities; N80.1;
5; N80.100;Varovanje;Private security activities; N80.10;
3; N80.2;Nadzorovanje delovanja varovalnih sistemov;Security systems service activities; N80;
4; N80.20;Nadzorovanje delovanja varovalnih sistemov;Security systems service activities; N80.2;
5; N80.200;Nadzorovanje delovanja varovalnih sistemov;Security systems service activities; N80.20;
3; N80.3;Poizvedovalne dejavnosti;Investigation activities; N80;
4; N80.30;Poizvedovalne dejavnosti;Investigation activities; N80.3;
5; N80.300;Poizvedovalne dejavnosti;Investigation activities; N80.30;
2; N81;Dejavnost oskrbe stavb in okolice;Services to buildings and landscape activities; N;
3; N81.1;Vzdrževanje objektov in hišniška dejavnost;Combined facilities support activities; N81;
4; N81.10;Vzdrževanje objektov in hišniška dejavnost;Combined facilities support activities; N81.1;
5; N81.100;Vzdrževanje objektov in hišniška dejavnost;Combined facilities support activities; N81.10;
3; N81.2;Èišèenje;Cleaning activities; N81;
4; N81.21;Splošno èišèenje stavb;General cleaning of buildings; N81.2;
5; N81.210;Splošno èišèenje stavb;General cleaning of buildings; N81.21;
4; N81.22;Drugo èišèenje stavb, industrijskih naprav in opreme;Other building and industrial cleaning activities; N81.2;
5; N81.220;Drugo èišèenje stavb, industrijskih naprav in opreme;Other building and industrial cleaning activities; N81.22;
4; N81.29;Èišèenje cest in drugo èišèenje;Other cleaning activities; N81.2;
5; N81.290;Èišèenje cest in drugo èišèenje;Other cleaning activities; N81.29;
3; N81.3;Urejanje in vzdrževanje zelenih površin in okolice;Landscape service activities; N81;
4; N81.30;Urejanje in vzdrževanje zelenih površin in okolice;Landscape service activities; N81.3;
5; N81.300;Urejanje in vzdrževanje zelenih površin in okolice;Landscape service activities; N81.30;
2; N82;Pisarniške in spremljajoèe poslovne storitvene dejavnosti;Office administrative, office support and other business support activities; N;
3; N82.1;Pisarniške dejavnosti;Office administrative and support activities; N82;
4; N82.11;Nudenje celovitih pisarniških storitev;Combined office administrative service activities; N82.1;
5; N82.110;Nudenje celovitih pisarniških storitev;Combined office administrative service activities; N82.11;
4; N82.19;Fotokopiranje, priprava dokumentov in druge posamiène pisarniške dejavnosti;Photocopying, document preparation and other specialised office support activities; N82.1;
5; N82.190;Fotokopiranje, priprava dokumentov in druge posamiène pisarniške dejavnosti;Photocopying, document preparation and other specialised office support activities; N82.19;
3; N82.2;Dejavnost klicnih centrov;Activities of call centres; N82;
4; N82.20;Dejavnost klicnih centrov;Activities of call centres; N82.2;
5; N82.200;Dejavnost klicnih centrov;Activities of call centres; N82.20;
3; N82.3;Organiziranje razstav, sejmov, sreèanj;Organisation of conventions and trade shows; N82;
4; N82.30;Organiziranje razstav, sejmov, sreèanj;Organisation of conventions and trade shows; N82.3;
5; N82.300;Organiziranje razstav, sejmov, sreèanj;Organisation of conventions and trade shows; N82.30;
3; N82.9;Druge spremljajoèe dejavnosti za poslovanje;Business support service activities n.e.c.; N82;
4; N82.91;Zbiranje terjatev in ocenjevanje kreditne sposobnosti;Activities of collection agencies and credit bureaus; N82.9;
5; N82.910;Zbiranje terjatev in ocenjevanje kreditne sposobnosti;Activities of collection agencies and credit bureaus; N82.91;
4; N82.92;Pakiranje;Packaging activities; N82.9;
5; N82.920;Pakiranje;Packaging activities; N82.92;
4; N82.99;Drugje nerazvršèene spremljajoèe dejavnosti za poslovanje;Other business support service activities n.e.c.; N82.9;
5; N82.990;Drugje nerazvršèene spremljajoèe dejavnosti za poslovanje;Other business support service activities n.e.c.; N82.99;
1; O;DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI;PUBLIC ADMINISTRATION AND DEFENCE, COMPULSORY SOCIAL SECURITY; ;
2; O84;Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti;Public administration and defence, compulsory social security; O;
3; O84.1;Dejavnost državne uprave ter ekonomska in socialna politika skupnosti;Administration of the State and the economic and social policy of the community; O84;
4; O84.11;Splošna dejavnost javne uprave;General public administration activities; O84.1;
5; O84.110;Splošna dejavnost javne uprave;General public administration activities; O84.11;
4; O84.12;Urejanje zdravstva, izobraževanja, kulturnih in drugih socialnih storitev, razen obvezne socialne varnosti;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security; O84.1;
5; O84.120;Urejanje zdravstva, izobraževanja, kulturnih in drugih socialnih storitev, razen obvezne socialne varnosti;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security; O84.12;
4; O84.13;Urejanje gospodarskih podroèij za uèinkovitejše poslovanje;Regulation of and contribution to more efficient operation of businesses; O84.1;
5; O84.130;Urejanje gospodarskih podroèij za uèinkovitejše poslovanje;Regulation of and contribution to more efficient operation of businesses; O84.13;
3; O84.2;Posebne dejavnosti za celotno družbeno skupnost;Provision of services to the community as a whole; O84;
4; O84.21;Urejanje zunanjih zadev;Foreign affairs; O84.2;
5; O84.210;Urejanje zunanjih zadev;Foreign affairs; O84.21;
4; O84.22;Obramba;Defence activities; O84.2;
5; O84.220;Obramba;Defence activities; O84.22;
4; O84.23;Sodstvo;Justice and judicial activities; O84.2;
5; O84.230;Sodstvo;Justice and judicial activities; O84.23;
4; O84.24;Dejavnosti za javni red in varnost;Public order and safety activities; O84.2;
5; O84.240;Dejavnosti za javni red in varnost;Public order and safety activities; O84.24;
4; O84.25;Zašèita in reševanje pri požarih in nesreèah;Fire service activities; O84.2;
5; O84.250;Zašèita in reševanje pri požarih in nesreèah;Fire service activities; O84.25;
3; O84.3;Dejavnost obvezne socialne varnosti;Compulsory social security activities; O84;
4; O84.30;Dejavnost obvezne socialne varnosti;Compulsory social security activities; O84.3;
5; O84.300;Dejavnost obvezne socialne varnosti;Compulsory social security activities; O84.30;
1; P;IZOBRAŽEVANJE;EDUCATION; ;
2; P85;Izobraževanje;Education; P;
3; P85.1;Predšolska vzgoja;Pre-primary education; P85;
4; P85.10;Predšolska vzgoja;Pre-primary education; P85.1;
5; P85.100;Predšolska vzgoja;Pre-primary education; P85.10;
3; P85.2;Osnovnošolsko izobraževanje;Primary education; P85;
4; P85.20;Osnovnošolsko izobraževanje;Primary education; P85.2;
5; P85.200;Osnovnošolsko izobraževanje;Primary education; P85.20;
3; P85.3;Srednješolsko izobraževanje;Secondary education; P85;
4; P85.31;Srednješolsko splošno izobraževanje;General secondary education; P85.3;
5; P85.310;Srednješolsko splošno izobraževanje;General secondary education; P85.31;
4; P85.32;Srednješolsko poklicno in strokovno izobraževanje;Technical and vocational secondary education; P85.3;
5; P85.320;Srednješolsko poklicno in strokovno izobraževanje;Technical and vocational secondary education; P85.32;
3; P85.4;Posrednješolsko izobraževanje;Higher education; P85;
4; P85.41;Posrednješolsko neterciarno izobraževanje;Post-secondary non-tertiary education; P85.4;
5; P85.410;Posrednješolsko neterciarno izobraževanje;Post-secondary non-tertiary education; P85.41;
4; P85.42;Višješolsko in visokošolsko izobraževanje;Tertiary education; P85.4;
5; P85.421;Višješolsko izobraževanje;First and second stages of tertiary education; P85.42;
5; P85.422;Visokošolsko izobraževanje;Third stage of tertiary education; P85.42;
3; P85.5;Drugo izobraževanje, izpopolnjevanje in usposabljanje;Other education; P85;
4; P85.51;Izobraževanje, izpopolnjevanje in usposabljanje na podroèju športa in rekreacije;Sports and recreation education; P85.5;
5; P85.510;Izobraževanje, izpopolnjevanje in usposabljanje na podroèju športa in rekreacije;Sports and recreation education; P85.51;
4; P85.52;Izobraževanje, izpopolnjevanje in usposabljanje na podroèju kulture in umetnosti;Cultural education; P85.5;
5; P85.520;Izobraževanje, izpopolnjevanje in usposabljanje na podroèju kulture in umetnosti;Cultural education; P85.52;
4; P85.53;Dejavnost vozniških šol;Driving school activities; P85.5;
5; P85.530;Dejavnost vozniških šol;Driving school activities; P85.53;
4; P85.59;Drugje nerazvršèeno izobraževanje, izpopolnjevanje in usposabljanje;Other education n.e.c.; P85.5;
5; P85.590;Drugje nerazvršèeno izobraževanje, izpopolnjevanje in usposabljanje;Other education n.e.c.; P85.59;
3; P85.6;Pomožne dejavnosti za izobraževanje;Educational support activities; P85;
4; P85.60;Pomožne dejavnosti za izobraževanje;Educational support activities; P85.6;
5; P85.600;Pomožne dejavnosti za izobraževanje;Educational support activities; P85.60;
1; Q;ZDRAVSTVO IN SOCIALNO VARSTVO;HUMAN HEALTH AND SOCIAL WORK ACTIVITIES; ;
2; Q86;Zdravstvo;Human health activities; Q;
3; Q86.1;Bolnišnièna zdravstvena dejavnost;Hospital activities; Q86;
4; Q86.10;Bolnišnièna zdravstvena dejavnost;Hospital activities; Q86.1;
5; Q86.100;Bolnišnièna zdravstvena dejavnost;Hospital activities; Q86.10;
3; Q86.2;Zunajbolnišnièna zdravstvena in zobozdravstvena dejavnost;Medical and dental practice activities; Q86;
4; Q86.21;Splošna zunajbolnišnièna zdravstvena dejavnost;General medical practice activities; Q86.2;
5; Q86.210;Splošna zunajbolnišnièna zdravstvena dejavnost;General medical practice activities; Q86.21;
4; Q86.22;Specialistièna zunajbolnišnièna zdravstvena dejavnost;Specialist medical practice activities; Q86.2;
5; Q86.220;Specialistièna zunajbolnišnièna zdravstvena dejavnost;Specialist medical practice activities; Q86.22;
4; Q86.23;Zobozdravstvena dejavnost;Dental practice activities; Q86.2;
5; Q86.230;Zobozdravstvena dejavnost;Dental practice activities; Q86.23;
3; Q86.9;Druge dejavnosti za zdravje;Other human health activities; Q86;
4; Q86.90;Druge dejavnosti za zdravje;Other human health activities; Q86.9;
5; Q86.901;Alternativne oblike zdravljenja;Alternative forms of medical treatment; Q86.90;
5; Q86.909;Druge zdravstvene dejavnosti;Other human health activities n.e.c.; Q86.90;
2; Q87;Socialno varstvo z nastanitvijo;Residential care activities; Q;
3; Q87.1;Dejavnost nastanitvenih ustanov za bolniško nego;Residential nursing care activities; Q87;
4; Q87.10;Dejavnost nastanitvenih ustanov za bolniško nego;Residential nursing care activities; Q87.1;
5; Q87.100;Dejavnost nastanitvenih ustanov za bolniško nego;Residential nursing care activities; Q87.10;
3; Q87.2;Dejavnost nastanitvenih ustanov za oskrbo duševno prizadetih, duševno obolelih in zasvojenih oseb;Residential care activities for mental retardation, mental health and substance abuse; Q87;
4; Q87.20;Dejavnost nastanitvenih ustanov za oskrbo duševno prizadetih, duševno obolelih in zasvojenih oseb;Residential care activities for mental retardation, mental health and substance abuse; Q87.2;
5; Q87.200;Dejavnost nastanitvenih ustanov za oskrbo duševno prizadetih, duševno obolelih in zasvojenih oseb;Residential care activities for mental retardation, mental health and substance abuse; Q87.20;
3; Q87.3;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;Residential care activities for the elderly and disabled; Q87;
4; Q87.30;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;Residential care activities for the elderly and disabled; Q87.3;
5; Q87.300;Dejavnost nastanitvenih ustanov za oskrbo starejših in invalidnih oseb;Residential care activities for the elderly and disabled; Q87.30;
3; Q87.9;Drugo socialno varstvo z nastanitvijo;Other residential care activities; Q87;
4; Q87.90;Drugo socialno varstvo z nastanitvijo;Other residential care activities; Q87.9;
5; Q87.900;Drugo socialno varstvo z nastanitvijo;Other residential care activities; Q87.90;
2; Q88;Socialno varstvo brez nastanitve;Social work activities without accommodation; Q;
3; Q88.1;Socialno varstvo brez nastanitve za starejše in invalidne osebe;Social work activities without accommodation for the elderly and disabled; Q88;
4; Q88.10;Socialno varstvo brez nastanitve za starejše in invalidne osebe;Social work activities without accommodation for the elderly and disabled; Q88.1;
5; Q88.101;Dejavnost invalidskih podjetij;Activity of enterprises employing disabled persons; Q88.10;
5; Q88.109;Drugo socialno varstvo brez nastanitve za starejše in invalidne osebe;Other social work activities without accommodation for the elderly and disabled; Q88.10;
3; Q88.9;Drugo socialno varstvo brez nastanitve;Other social work activities without accommodation; Q88;
4; Q88.91;Dnevno varstvo otrok;Child day-care activities; Q88.9;
5; Q88.910;Dnevno varstvo otrok;Child day-care activities; Q88.91;
4; Q88.99;Drugje nerazvršèeno socialno varstvo brez nastanitve;Other social work activities without accommodation n.e.c.; Q88.9;
5; Q88.991;Dejavnost humanitarnih in dobrodelnih organizacij;Activity of humanitarian and charitable organisations; Q88.99;
5; Q88.999;Drugo drugje nerazvršèeno socialno varstvo brez nastanitve;Other social work activities without accommodation n.e.c.; Q88.99;
1; R;KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;ARTS, ENTERTAINMENT AND RECREATION; ;
2; R90;Kulturne in razvedrilne dejavnosti;Creative, arts and entertainment activities; R;
3; R90.0;Kulturne in razvedrilne dejavnosti;Creative, arts and entertainment activities; R90;
4; R90.01;Umetniško uprizarjanje;Performing arts; R90.0;
5; R90.010;Umetniško uprizarjanje;Performing arts; R90.01;
4; R90.02;Spremljajoèe dejavnosti za umetniško uprizarjanje;Support activities to performing arts; R90.0;
5; R90.020;Spremljajoèe dejavnosti za umetniško uprizarjanje;Support activities to performing arts; R90.02;
4; R90.03;Umetniško ustvarjanje;Artistic creation; R90.0;
5; R90.030;Umetniško ustvarjanje;Artistic creation; R90.03;
4; R90.04;Obratovanje objektov za kulturne prireditve;Operation of arts facilities; R90.0;
5; R90.040;Obratovanje objektov za kulturne prireditve;Operation of arts facilities; R90.04;
2; R91;Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti;Libraries, archives, museums and other cultural activities; R;
3; R91.0;Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti;Libraries, archives, museums and other cultural activities; R91;
4; R91.01;Dejavnost knjižnic in arhivov;Library and archives activities; R91.0;
5; R91.011;Dejavnost knjižnic;Library activities; R91.01;
5; R91.012;Dejavnost arhivov;Archives activities; R91.01;
4; R91.02;Dejavnost muzejev;Museums activities; R91.0;
5; R91.020;Dejavnost muzejev;Museums activities; R91.02;
4; R91.03;Varstvo kulturne dedišèine;Operation of historical sites and buildings and similar visitor attractions; R91.0;
5; R91.030;Varstvo kulturne dedišèine;Operation of historical sites and buildings and similar visitor attractions; R91.03;
4; R91.04;Dejavnost botaniènih in živalskih vrtov, varstvo naravnih vrednot;Botanical and zoological gardens and nature reserves activities; R91.0;
5; R91.040;Dejavnost botaniènih in živalskih vrtov, varstvo naravnih vrednot;Botanical and zoological gardens and nature reserves activities; R91.04;
2; R92;Prirejanje iger na sreèo;Gambling and betting activities; R;
3; R92.0;Prirejanje iger na sreèo;Gambling and betting activities; R92;
4; R92.00;Prirejanje iger na sreèo;Gambling and betting activities; R92.0;
5; R92.001;Dejavnost igralnic;Activities of casinos; R92.00;
5; R92.002;Prirejanje iger na sreèo, razen v igralnicah;Other gambling and betting activities; R92.00;
2; R93;Športne in druge dejavnosti za prosti èas;Sports activities and amusement and recreation activities; R;
3; R93.1;Športne dejavnosti;Sports activities; R93;
4; R93.11;Obratovanje športnih objektov;Operation of sports facilities; R93.1;
5; R93.110;Obratovanje športnih objektov;Operation of sports facilities; R93.11;
4; R93.12;Dejavnost športnih klubov;Activities of sport clubs; R93.1;
5; R93.120;Dejavnost športnih klubov;Activities of sport clubs; R93.12;
4; R93.13;Obratovanje fitnes objektov;Fitness facilities; R93.1;
5; R93.130;Obratovanje fitnes objektov;Fitness facilities; R93.13;
4; R93.19;Druge športne dejavnosti;Other sports activities; R93.1;
5; R93.190;Druge športne dejavnosti;Other sports activities; R93.19;
3; R93.2;Druge dejavnosti za prosti èas;Other amusement and recreation activities; R93;
4; R93.21;Dejavnost zabavišènih parkov;Activities of amusement parks and theme parks; R93.2;
5; R93.210;Dejavnost zabavišènih parkov;Activities of amusement parks and theme parks; R93.21;
4; R93.29;Drugje nerazvršèene dejavnosti za prosti èas;Other amusement and recreation activities n.e.c.; R93.2;
5; R93.291;Dejavnost marin;Operation of marinas; R93.29;
5; R93.292;Dejavnost smuèarskih centrov;Operation of ski hills; R93.29;
5; R93.299;Druge nerazvršèene dejavnosti za prosti èas;Other amusement and recreation activities n.e.c.; R93.29;
1; S;DRUGE DEJAVNOSTI;OTHER SERVICE ACTIVITIES; ;
2; S94;Dejavnost èlanskih organizacij;Activities of membership organisations; S;
3; S94.1;Dejavnost poslovnih, delodajalskih in strokovnih združenj;Activities of business, employers and professional membership organisations; S94;
4; S94.11;Dejavnost poslovnih in delodajalskih združenj;Activities of business and employers membership organisations; S94.1;
5; S94.110;Dejavnost poslovnih in delodajalskih združenj;Activities of business and employers membership organisations; S94.11;
4; S94.12;Dejavnost strokovnih združenj;Activities of professional membership organisations; S94.1;
5; S94.120;Dejavnost strokovnih združenj;Activities of professional membership organisations; S94.12;
3; S94.2;Dejavnost sindikatov;Activities of trade unions; S94;
4; S94.20;Dejavnost sindikatov;Activities of trade unions; S94.2;
5; S94.200;Dejavnost sindikatov;Activities of trade unions; S94.20;
3; S94.9;Dejavnost drugih èlanskih organizacij;Activities of other membership organisations; S94;
4; S94.91;Dejavnost verskih organizacij;Activities of religious organisations; S94.9;
5; S94.910;Dejavnost verskih organizacij;Activities of religious organisations; S94.91;
4; S94.92;Dejavnost politiènih organizacij;Activities of political organisations; S94.9;
5; S94.920;Dejavnost politiènih organizacij;Activities of political organisations; S94.92;
4; S94.99;Dejavnost drugje nerazvršèenih èlanskih organizacij;Activities of other membership organisations n.e.c.; S94.9;
5; S94.991;Dejavnost invalidskih organizacij;Activity of membership organisations for disabled persons; S94.99;
5; S94.999;Dejavnost drugje nerazvršèenih èlanskih organizacij;Activities of other membership organisations n.e.c.; S94.99;
2; S95;Popravila raèunalnikov in izdelkov za široko rabo;Repair of computers and personal and household goods; S;
3; S95.1;Popravila in vzdrževanje raèunalnikov in komunikacijskih naprav;Repair of computers and communication equipment; S95;
4; S95.11;Popravila in vzdrževanje raèunalnikov in perifernih enot;Repair of computers and peripheral equipment; S95.1;
5; S95.110;Popravila in vzdrževanje raèunalnikov in perifernih enot;Repair of computers and peripheral equipment; S95.11;
4; S95.12;Popravila komunikacijskih naprav;Repair of communication equipment; S95.1;
5; S95.120;Popravila komunikacijskih naprav;Repair of communication equipment; S95.12;
3; S95.2;Popravila izdelkov za široko rabo;Repair of personal and household goods; S95;
4; S95.21;Popravila elektronskih naprav za široko rabo;Repair of consumer electronics; S95.2;
5; S95.210;Popravila elektronskih naprav za široko rabo;Repair of consumer electronics; S95.21;
4; S95.22;Popravila gospodinjskih in hišnih naprav in opreme;Repair of household appliances and home and garden equipment; S95.2;
5; S95.220;Popravila gospodinjskih in hišnih naprav in opreme;Repair of household appliances and home and garden equipment; S95.22;
4; S95.23;Popravila obutve in usnjene galanterije;Repair of footwear and leather goods; S95.2;
5; S95.230;Popravila obutve in usnjene galanterije;Repair of footwear and leather goods; S95.23;
4; S95.24;Popravila pohištva;Repair of furniture and home furnishings; S95.2;
5; S95.240;Popravila pohištva;Repair of furniture and home furnishings; S95.24;
4; S95.25;Popravila ur in nakita;Repair of watches, clocks and jewellery; S95.2;
5; S95.250;Popravila ur in nakita;Repair of watches, clocks and jewellery; S95.25;
4; S95.29;Popravila drugih osebnih ali gospodinjskih izdelkov;Repair of other personal and household goods; S95.2;
5; S95.290;Popravila drugih osebnih ali gospodinjskih izdelkov;Repair of other personal and household goods; S95.29;
2; S96;Druge storitvene dejavnosti;Other personal service activities; S;
3; S96.0;Druge storitvene dejavnosti;Other personal service activities; S96;
4; S96.01;Dejavnost pralnic in kemiènih èistilnic;Washing and (dry-)cleaning of textile and fur products; S96.0;
5; S96.010;Dejavnost pralnic in kemiènih èistilnic;Washing and (dry-)cleaning of textile and fur products; S96.01;
4; S96.02;Frizerska, kozmetièna in pedikerska dejavnost;Hairdressing and other beauty treatment; S96.0;
5; S96.021;Frizerska dejavnost;Hairdressing; S96.02;
5; S96.022;Kozmetièna in pedikerska dejavnost;Other beauty treatment; S96.02;
4; S96.03;Pogrebna dejavnost;Funeral and related activities; S96.0;
5; S96.030;Pogrebna dejavnost;Funeral and related activities; S96.03;
4; S96.04;Dejavnosti za nego telesa;Physical well-being activities; S96.0;
5; S96.040;Dejavnosti za nego telesa;Physical well-being activities; S96.04;
4; S96.09;Druge storitvene dejavnosti, drugje nerazvršèene;Other personal service activities n.e.c.; S96.0;
5; S96.090;Druge storitvene dejavnosti, drugje nerazvršèene;Other personal service activities n.e.c.; S96.09;
1; T;DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO;ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS, UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE; ;
2; T97;Dejavnost gospodinjstev z zaposlenim hišnim osebjem;Activities of households as employers of domestic personnel; T;
3; T97.0;Dejavnost gospodinjstev z zaposlenim hišnim osebjem;Activities of households as employers of domestic personnel; T97;
4; T97.00;Dejavnost gospodinjstev z zaposlenim hišnim osebjem;Activities of households as employers of domestic personnel; T97.0;
5; T97.000;Dejavnost gospodinjstev z zaposlenim hišnim osebjem;Activities of households as employers of domestic personnel; T97.00;
2; T98;Raznovrstna proizvodnja gospodinjstev za lastno rabo;Undifferentiated goods- and services-producing activities of private households for own use; T;
3; T98.1;Raznovrstna proizvodnja dobrin v gospodinjstvih za lastno rabo;Undifferentiated goods-producing activities of private households for own use; T98;
4; T98.10;Raznovrstna proizvodnja dobrin v gospodinjstvih za lastno rabo;Undifferentiated goods-producing activities of private households for own use; T98.1;
5; T98.100;Raznovrstna proizvodnja dobrin v gospodinjstvih za lastno rabo;Undifferentiated goods-producing activities of private households for own use; T98.10;
3; T98.2;Raznovrstna proizvodnja storitev v gospodinjstvih za lastno rabo;Undifferentiated service-producing activities of private households for own use; T98;
4; T98.20;Raznovrstna proizvodnja storitev v gospodinjstvih za lastno rabo;Undifferentiated service-producing activities of private households for own use; T98.2;
5; T98.200;Raznovrstna proizvodnja storitev v gospodinjstvih za lastno rabo;Undifferentiated service-producing activities of private households for own use; T98.20;
1; U;DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES;ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES; ;
2; U99;Dejavnost eksteritorialnih organizacij in teles;Activities of extraterritorial organisations and bodies; U;
3; U99.0;Dejavnost eksteritorialnih organizacij in teles;Activities of extraterritorial organisations and bodies; U99;
4; U99.00;Dejavnost eksteritorialnih organizacij in teles;Activities of extraterritorial organisations and bodies; U99.0;
5; U99.000;Dejavnost eksteritorialnih organizacij in teles;Activities of extraterritorial organisations and bodies; U99.00;
